<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER [TQBR],Daily,20100315,0,88.300000,89.630000,87.630000,87.910000,18602774.000000
SBER [TQBR],Daily,20100316,0,88.440000,89.300000,87.700000,88.920000,18406388.000000
SBER [TQBR],Daily,20100317,0,90.000000,90.470000,88.760000,89.450000,16157088.000000
SBER [TQBR],Daily,20100318,0,89.030000,90.920000,88.380000,89.770000,27766927.000000
SBER [TQBR],Daily,20100319,0,90.100000,90.480000,87.820000,88.070000,18648421.000000
SBER [TQBR],Daily,20100322,0,87.500000,87.690000,85.870000,86.620000,17392681.000000
SBER [TQBR],Daily,20100323,0,87.030000,87.200000,85.110000,85.690000,18671421.000000
SBER [TQBR],Daily,20100324,0,86.500000,87.370000,84.750000,86.750000,22583951.000000
SBER [TQBR],Daily,20100325,0,86.730000,87.290000,85.300000,86.100000,18101465.000000
SBER [TQBR],Daily,20100326,0,86.000000,86.450000,84.470000,84.760000,15201986.000000
SBER [TQBR],Daily,20100329,0,84.500000,86.050000,84.050000,85.410000,14743374.000000
SBER [TQBR],Daily,20100330,0,85.850000,86.650000,84.330000,84.810000,16028949.000000
SBER [TQBR],Daily,20100331,0,84.880000,87.100000,84.450000,85.790000,20380965.000000
SBER [TQBR],Daily,20100401,0,86.400000,88.000000,86.110000,87.540000,15600844.000000
SBER [TQBR],Daily,20100402,0,88.000000,88.860000,87.430000,88.160000,10124758.000000
SBER [TQBR],Daily,20100405,0,88.500000,88.820000,87.620000,88.420000,9914388.000000
SBER [TQBR],Daily,20100406,0,88.500000,89.140000,87.450000,88.580000,14285279.000000
SBER [TQBR],Daily,20100407,0,88.600000,88.950000,86.300000,86.690000,14753116.000000
SBER [TQBR],Daily,20100408,0,86.000000,86.000000,84.400000,84.880000,14720535.000000
SBER [TQBR],Daily,20100409,0,85.470000,87.850000,85.180000,87.120000,14971574.000000
SBER [TQBR],Daily,20100412,0,87.750000,88.000000,85.840000,86.520000,11246837.000000
SBER [TQBR],Daily,20100413,0,85.730000,88.260000,85.630000,87.370000,16391279.000000
SBER [TQBR],Daily,20100414,0,88.100000,89.480000,87.880000,89.010000,15299140.000000
SBER [TQBR],Daily,20100415,0,89.700000,90.270000,88.630000,89.250000,12173928.000000
SBER [TQBR],Daily,20100416,0,88.670000,89.890000,86.750000,87.520000,11848703.000000
SBER [TQBR],Daily,20100419,0,85.600000,85.800000,82.810000,85.340000,18040729.000000
SBER [TQBR],Daily,20100420,0,85.980000,87.370000,85.360000,86.700000,14349272.000000
SBER [TQBR],Daily,20100421,0,87.200000,88.000000,84.900000,85.310000,14611504.000000
SBER [TQBR],Daily,20100422,0,85.000000,86.350000,83.240000,84.400000,18991990.000000
SBER [TQBR],Daily,20100423,0,85.000000,86.010000,83.400000,84.370000,17300355.000000
SBER [TQBR],Daily,20100426,0,85.450000,85.840000,84.520000,84.790000,13309914.000000
SBER [TQBR],Daily,20100427,0,84.330000,84.360000,82.320000,82.710000,14887421.000000
SBER [TQBR],Daily,20100428,0,81.000000,81.430000,78.920000,79.830000,24424104.000000
SBER [TQBR],Daily,20100429,0,80.160000,81.190000,79.420000,80.730000,15514203.000000
SBER [TQBR],Daily,20100430,0,81.010000,81.380000,77.820000,78.580000,15219221.000000
SBER [TQBR],Daily,20100504,0,79.200000,80.090000,75.460000,75.810000,22392717.000000
SBER [TQBR],Daily,20100505,0,75.160000,77.440000,73.500000,74.920000,28007348.000000
SBER [TQBR],Daily,20100506,0,74.790000,76.990000,73.530000,74.060000,28918487.000000
SBER [TQBR],Daily,20100507,0,70.960000,72.700000,69.510000,70.270000,37753240.000000
SBER [TQBR],Daily,20100511,0,73.600000,75.100000,71.150000,74.520000,30373125.000000
SBER [TQBR],Daily,20100512,0,74.300000,82.300000,74.100000,81.950000,37523326.000000
SBER [TQBR],Daily,20100513,0,82.730000,84.730000,79.420000,80.810000,39601005.000000
SBER [TQBR],Daily,20100514,0,79.800000,80.550000,76.920000,77.250000,23493545.000000
SBER [TQBR],Daily,20100517,0,75.300000,77.450000,74.850000,76.630000,32335049.000000
SBER [TQBR],Daily,20100518,0,76.990000,78.280000,75.700000,77.200000,30144732.000000
SBER [TQBR],Daily,20100519,0,75.500000,75.880000,73.430000,73.820000,26348477.000000
SBER [TQBR],Daily,20100520,0,74.000000,75.300000,69.230000,69.920000,37856956.000000
SBER [TQBR],Daily,20100521,0,70.500000,71.740000,67.160000,68.810000,44900668.000000
SBER [TQBR],Daily,20100524,0,71.000000,71.710000,69.130000,70.130000,28798424.000000
SBER [TQBR],Daily,20100525,0,67.400000,67.640000,63.810000,64.560000,31426801.000000
SBER [TQBR],Daily,20100526,0,66.190000,69.390000,65.600000,68.810000,51782565.000000
SBER [TQBR],Daily,20100527,0,69.350000,71.760000,68.100000,70.560000,41222113.000000
SBER [TQBR],Daily,20100528,0,71.200000,72.070000,69.800000,70.340000,27175803.000000
SBER [TQBR],Daily,20100531,0,70.270000,71.430000,69.930000,71.060000,11133274.000000
SBER [TQBR],Daily,20100601,0,70.400000,71.600000,68.080000,70.940000,24907173.000000
SBER [TQBR],Daily,20100602,0,69.510000,71.260000,68.920000,71.060000,31076268.000000
SBER [TQBR],Daily,20100603,0,73.000000,73.260000,72.000000,72.360000,22515365.000000
SBER [TQBR],Daily,20100604,0,72.300000,73.530000,69.500000,70.180000,30528551.000000
SBER [TQBR],Daily,20100607,0,67.650000,71.740000,67.400000,71.140000,27093022.000000
SBER [TQBR],Daily,20100608,0,71.990000,72.490000,70.180000,71.170000,30931336.000000
SBER [TQBR],Daily,20100609,0,71.720000,72.570000,70.630000,71.810000,25407147.000000
SBER [TQBR],Daily,20100610,0,72.060000,73.350000,70.770000,73.180000,25171131.000000
SBER [TQBR],Daily,20100611,0,73.750000,73.800000,71.350000,72.310000,19274603.000000
SBER [TQBR],Daily,20100615,0,72.650000,76.000000,72.240000,75.680000,24208216.000000
SBER [TQBR],Daily,20100616,0,77.000000,77.440000,75.310000,76.730000,26434243.000000
SBER [TQBR],Daily,20100617,0,76.360000,79.740000,76.130000,78.330000,34185618.000000
SBER [TQBR],Daily,20100618,0,78.880000,80.300000,77.430000,80.030000,23128330.000000
SBER [TQBR],Daily,20100621,0,82.000000,84.560000,81.800000,83.990000,21327904.000000
SBER [TQBR],Daily,20100622,0,83.010000,83.900000,81.030000,82.480000,25658003.000000
SBER [TQBR],Daily,20100623,0,81.510000,83.050000,80.550000,80.880000,17390793.000000
SBER [TQBR],Daily,20100624,0,81.750000,82.080000,79.930000,80.270000,18146926.000000
SBER [TQBR],Daily,20100625,0,80.010000,80.370000,77.700000,78.230000,19701049.000000
SBER [TQBR],Daily,20100628,0,78.520000,80.700000,78.230000,80.160000,16906803.000000
SBER [TQBR],Daily,20100629,0,79.000000,79.000000,76.440000,77.070000,17749133.000000
SBER [TQBR],Daily,20100630,0,77.100000,78.430000,76.050000,76.960000,27991420.000000
SBER [TQBR],Daily,20100701,0,75.010000,75.500000,71.790000,72.750000,23813213.000000
SBER [TQBR],Daily,20100702,0,73.190000,73.930000,71.500000,73.060000,27509593.000000
SBER [TQBR],Daily,20100705,0,73.060000,73.790000,72.760000,73.310000,9477805.000000
SBER [TQBR],Daily,20100706,0,74.150000,76.770000,74.000000,76.480000,21855210.000000
SBER [TQBR],Daily,20100707,0,75.670000,77.530000,74.050000,77.150000,26965752.000000
SBER [TQBR],Daily,20100708,0,78.900000,79.450000,77.130000,78.040000,24447113.000000
SBER [TQBR],Daily,20100709,0,78.200000,78.590000,76.000000,77.320000,18496160.000000
